 VALUES_TYPE               ModuleFillMatrix          1                         From Block                1                                                            YES
 NO_INTERPOLATION_OR_ACCUM ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 NO_INTERPOLATION          ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 MIN_FOR_DT_DECREASE       ModuleFillMatrix          1.000000000000000E-015    From Block                1.000000000000000E-015                                       YES
 PREVIOUS_INSTANT_VALUES   ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 IGNORE_NODATA_POINT       ModuleFillMatrix          TRUE                      From Block                TRUE                                                         YES
 PREDICT_DT_METHOD         ModuleFillMatrix          1                         From Block                1                                                            YES
 OUTPUT_HDF                ModuleWave                FALSE                     From Block                FALSE                                                        YES
 TIME_SERIE                ModuleWave                FALSE                     From Block                FALSE                                                        YES
 FROM_SWAN                 ModuleWave                FALSE                     From Block                FALSE                                                        YES
 WAVE_LENGTH               ModuleWave                FALSE                     From File                 FALSE                                                        YES
 WAVE_UBW                  ModuleWave                FALSE                     From File                 FALSE                                                        YES
 RADIATION_TENSION_X       ModuleWave                FALSE                     From File                 FALSE                                                        YES
 RADIATION_TENSION_Y       ModuleWave                FALSE                     From File                 FALSE                                                        YES
 RADIATION_TENSION         ModuleWave                FALSE                     From File                 TRUE                                                         YES
 FILE_IN_TIME              ModuleFillMatrix          None                      From Block                None                                                         YES
 INITIALIZATION_METHOD     ModuleFillMatrix          Constant                  From Block                Constant                                                     YES
 REMAIN_CONSTANT           ModuleFillMatrix          FALSE                     From Block                TRUE                                                         YES
 INITIALIZATION_DEFAULT    ModuleFillMatrix          Constant                  From Block                Constant                                                     YES
 DEFAULTVALUE              ModuleFillMatrix          -9.900000000000000E+015   From Block                0.00000000000000 0.00000000000000                            YES
 INTERPOLATE_VALUES        ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 ACCUMULATE_VALUES         ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 USE_ORIGINAL_VALUES       ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 VALUES_TYPE               ModuleFillMatrix          1                         From Block                1                                                            YES
 NO_INTERPOLATION_OR_ACCUM ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 NO_INTERPOLATION          ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 MIN_FOR_DT_DECREASE       ModuleFillMatrix          1.000000000000000E-015    From Block                1.000000000000000E-015                                       YES
 PREVIOUS_INSTANT_VALUES   ModuleFillMatrix          FALSE                     From Block                FALSE                                                        YES
 IGNORE_NODATA_POINT       ModuleFillMatrix          TRUE                      From Block                TRUE                                                         YES
 PREDICT_DT_METHOD         ModuleFillMatrix          1                         From Block                1                                                            YES
 OUTPUT_HDF                ModuleWave                FALSE                     From Block                FALSE                                                        YES
 TIME_SERIE                ModuleWave                FALSE                     From Block                FALSE                                                        YES
 FROM_SWAN                 ModuleWave                FALSE                     From Block                FALSE                                                        YES
